CSVData,        mpi, 12, 512, max_level, 13, grids, 14512009, Total, 2159.91, Computation, 2113.04, Regrid, 39.2422, Compare Analytics, 2.07707, Find Localities, 0, coalesce, 0
CSVData,  libfabric, 12, 32, max_level, 9, grids, 36201, Total, 49.1168, Computation, 45.8829, Regrid, 2.5395, Compare Analytics, 0.00620805, Find Localities, 0, coalesce, 0
CSVData,        mpi, 12, 128, max_level, 12, grids, 1931881, Total, 910.369, Computation, 878.937, Regrid, 28.7251, Compare Analytics, 0.683254, Find Localities, 0, coalesce, 0
CSVData,        mpi, 12, 32, max_level, 9, grids, 36201, Total, 65.2838, Computation, 62.6764, Regrid, 2.13457, Compare Analytics, 0.0361582, Find Localities, 0, coalesce, 0
CSVData,  libfabric, 12, 64, max_level, 8, grids, 9097, Total, 8.44182, Computation, 7.89021, Regrid, 0.396184, Compare Analytics, 0.00223201, Find Localities, 0, coalesce, 0
CSVData,  libfabric, 12, 64, max_level, 7, grids, 2857, Total, 3.88829, Computation, 3.1871, Regrid, 0.521557, Compare Analytics, 0.00134052, Find Localities, 0, coalesce, 0
CSVData,        mpi, 12, 32, max_level, 11, grids, 276617, Total, 441.827, Computation, 425.19, Regrid, 14.7101, Compare Analytics, 0.369013, Find Localities, 0, coalesce, 0
CSVData,        mpi, 12, 512, max_level, 11, grids, 276617, Total, 42.3032, Computation, 39.5577, Regrid, 1.98864, Compare Analytics, 0.0233309, Find Localities, 0, coalesce, 0
CSVData,        mpi, 12, 512, max_level, 9, grids, 36201, Total, 10.1305, Computation, 7.77054, Regrid, 1.5291, Compare Analytics, 0.00264568, Find Localities, 0, coalesce, 0
CSVData,        mpi, 12, 1024, max_level, 8, grids, 9097, Total, 5.86935, Computation, 3.7094, Regrid, 1.00723, Compare Analytics, 0.135657, Find Localities, 0, coalesce, 0
CSVData,  libfabric, 12, 128, max_level, 12, grids, 1931881, Total, 730.555, Computation, 699.6, Regrid, 28.6219, Compare Analytics, 0.0721773, Find Localities, 0, coalesce, 0
CSVData,        mpi, 12, 512, max_level, 12, grids, 1931881, Total, 257.131, Computation, 243.656, Regrid, 12.3434, Compare Analytics, 0.206194, Find Localities, 0, coalesce, 0
CSVData,        mpi, 12, 32, max_level, 7, grids, 2857, Total, 7.20627, Computation, 6.66967, Regrid, 0.346742, Compare Analytics, 0.00196178, Find Localities, 0, coalesce, 0
CSVData,        mpi, 12, 2048, max_level, 7, grids, 2857, Total, 6.291, Computation, 3.2056, Regrid, 1.96893, Compare Analytics, 0.340081, Find Localities, 0, coalesce, 0
CSVData,  libfabric, 12, 32, max_level, 10, grids, 47753, Total, 64.7953, Computation, 61.0878, Regrid, 3.20667, Compare Analytics, 0.00682385, Find Localities, 0, coalesce, 0
CSVData,  libfabric, 12, 128, max_level, 10, grids, 47753, Total, 20.6508, Computation, 19.5074, Regrid, 0.903979, Compare Analytics, 0.00251322, Find Localities, 0, coalesce, 0
CSVData,  libfabric, 12, 128, max_level, 11, grids, 276617, Total, 100.101, Computation, 94.411, Regrid, 4.89705, Compare Analytics, 0.0103637, Find Localities, 0, coalesce, 0
CSVData,        mpi, 12, 128, max_level, 7, grids, 2857, Total, 4.12998, Computation, 3.54805, Regrid, 0.35236, Compare Analytics, 0.0242568, Find Localities, 0, coalesce, 0
CSVData,        mpi, 12, 1024, max_level, 12, grids, 1931881, Total, 138.385, Computation, 128.912, Regrid, 7.72116, Compare Analytics, 0.163933, Find Localities, 0, coalesce, 0
CSVData,        mpi, 12, 2048, max_level, 13, grids, 14512009, Total, 601.574, Computation, 540.249, Regrid, 58.5658, Compare Analytics, 0.60127, Find Localities, 0, coalesce, 0
CSVData,        mpi, 12, 512, max_level, 7, grids, 2857, Total, 4.893, Computation, 2.98369, Regrid, 1.29231, Compare Analytics, 0.150002, Find Localities, 0, coalesce, 0
CSVData,  libfabric, 12, 256, max_level, 7, grids, 2857, Total, 3.47841, Computation, 2.41325, Regrid, 0.617812, Compare Analytics, 0.0685069, Find Localities, 0, coalesce, 0
CSVData,  libfabric, 12, 64, max_level, 10, grids, 47753, Total, 37.4954, Computation, 35.4873, Regrid, 1.72605, Compare Analytics, 0.00354291, Find Localities, 0, coalesce, 0
CSVData,  libfabric, 12, 256, max_level, 11, grids, 276617, Total, 55.5534, Computation, 51.9111, Regrid, 3.08752, Compare Analytics, 0.00665494, Find Localities, 0, coalesce, 0
CSVData,        mpi, 12, 64, max_level, 7, grids, 2857, Total, 5.32961, Computation, 4.79003, Regrid, 0.350891, Compare Analytics, 0.00150058, Find Localities, 0, coalesce, 0
CSVData,  libfabric, 12, 1024, max_level, 8, grids, 9097, Total, 6.34832, Computation, 2.94388, Regrid, 1.47655, Compare Analytics, 0.192953, Find Localities, 0, coalesce, 0
CSVData,  libfabric, 12, 512, max_level, 7, grids, 2857, Total, 3.81601, Computation, 2.72115, Regrid, 0.628621, Compare Analytics, 0.0835502, Find Localities, 0, coalesce, 0
